episode	total_steps	outcome	reward_sum	ma100_success	loss_critic	loss_actor	r_yaw	r_distance	r_obstacle	r_vlinear	r_vangular	r_step	r_terminal
51	29043	2	-2438.050	5.88	60.25760	273.67175	-133.593	10.631	-60.000	-109.245	-45.844	-100.000	-2000.000
52	29259	4	-1129.698	5.77	58.97095	277.88040	-309.679	3.608	-260.000	-275.819	-71.807	-216.000	0.000
53	29420	2	-3324.210	5.66	56.63807	277.83878	-234.932	-5.749	-380.000	-378.084	-164.445	-161.000	-2000.000
54	29569	2	-2879.045	5.56	59.54716	278.45901	-235.145	6.281	-120.000	-287.687	-93.495	-149.000	-2000.000
55	29761	4	-960.538	5.45	57.79427	280.79114	-289.232	-4.245	0.000	-340.777	-134.285	-192.000	0.000
56	29938	2	-3691.360	5.36	57.82976	279.37430	-228.987	-5.599	-640.000	-490.543	-149.231	-177.000	-2000.000
57	30125	4	-785.960	5.26	59.46639	282.17316	-272.361	-8.997	0.000	-254.405	-63.196	-187.000	0.000
58	30155	2	-2328.351	5.17	56.14420	282.51257	-29.512	3.791	-140.000	-86.452	-46.179	-30.000	-2000.000
59	30552	2	-5031.797	5.08	59.43098	285.82291	-583.522	36.358	-860.000	-902.294	-325.339	-397.000	-2000.000
60	30722	4	-1321.045	5.00	61.70680	287.19778	-266.310	-6.518	-360.000	-409.751	-108.467	-170.000	0.000
61	30752	2	-2298.760	4.92	60.81439	291.25342	-55.110	-0.639	-140.000	-53.518	-19.494	-30.000	-2000.000
62	30927	4	-869.160	4.84	59.84012	289.25012	-265.532	-12.292	0.000	-312.814	-103.521	-175.000	0.000
63	31109	4	-1060.261	4.76	58.81669	290.99438	-256.697	14.533	-180.000	-373.584	-82.513	-182.000	0.000
64	31215	2	-2558.767	4.69	60.43673	289.45004	-125.313	3.434	-100.000	-184.898	-45.990	-106.000	-2000.000
65	31388	2	-3200.293	4.62	60.85170	292.58795	-281.761	37.039	-40.000	-561.508	-181.063	-173.000	-2000.000
66	31576	4	-1027.251	4.55	59.59863	293.08044	-361.191	-18.496	0.000	-394.393	-65.171	-188.000	0.000
67	31666	2	-2596.764	4.48	61.60825	291.86993	-137.688	-10.158	-160.000	-148.011	-50.908	-90.000	-2000.000
68	31721	2	-2628.116	4.41	58.19181	294.07990	-73.206	3.378	-180.000	-244.715	-78.573	-55.000	-2000.000
69	31888	4	-1222.419	4.35	60.05849	294.68280	-257.227	-4.904	-380.000	-332.391	-80.897	-167.000	0.000
70	32079	4	-907.129	4.29	60.46972	296.15448	-327.621	17.005	-40.000	-297.601	-67.911	-191.000	0.000
71	32117	2	-2389.034	4.23	59.12154	295.62183	-63.758	0.377	-80.000	-156.234	-51.419	-38.000	-2000.000
72	32315	4	-1381.466	4.17	62.40366	298.88217	-349.190	2.342	-100.000	-572.871	-163.748	-198.000	0.000
73	32397	2	-2706.193	4.11	61.84077	301.72122	-128.153	8.251	-140.000	-254.039	-110.252	-82.000	-2000.000
74	32602	4	-1726.466	4.05	62.19192	301.29730	-302.809	30.987	-40.000	-945.182	-264.463	-205.000	0.000
75	32703	2	-2767.981	4.00	62.77969	301.12634	-137.283	15.306	-120.000	-336.494	-88.511	-101.000	-2000.000
76	32924	4	-987.889	3.95	62.88048	303.81317	-341.940	-0.835	0.000	-293.779	-130.334	-221.000	0.000
77	33097	2	-3442.537	3.90	61.78290	305.23569	-231.063	5.806	-380.000	-526.756	-137.524	-173.000	-2000.000
78	33313	4	-1614.263	3.85	64.37202	305.66644	-388.829	-11.696	-420.000	-488.076	-89.662	-216.000	0.000
79	33501	4	-1104.755	3.80	63.91626	308.97595	-221.801	16.763	0.000	-578.981	-132.736	-188.000	0.000
80	33638	2	-3237.626	3.75	62.95673	311.13840	-235.725	-15.391	-380.000	-347.471	-122.039	-137.000	-2000.000
81	33875	4	-1332.688	3.70	62.63469	310.19748	-363.034	6.675	-200.000	-454.226	-85.103	-237.000	0.000
82	34032	2	-3256.615	3.66	60.98475	312.93103	-221.520	3.630	-300.000	-477.051	-104.674	-157.000	-2000.000
83	34240	4	-1474.420	3.61	63.97726	313.04971	-302.627	-3.439	-120.000	-672.563	-167.792	-208.000	0.000
84	34459	4	-1064.707	3.57	64.82837	313.75006	-312.474	14.590	0.000	-441.382	-106.441	-219.000	0.000
85	34563	2	-2597.529	3.53	65.94109	315.29178	-129.695	3.373	-180.000	-158.886	-28.321	-104.000	-2000.000
86	34780	4	-1242.349	3.49	64.26459	315.22482	-293.703	-2.721	0.000	-467.001	-261.924	-217.000	0.000
87	34810	1	2444.274	4.60	66.16136	321.07614	-23.530	14.179	0.000	-12.147	-4.228	-30.000	2500.000
88	34842	2	-2274.681	4.55	65.95816	321.50266	-11.962	1.932	-180.000	-26.436	-26.214	-32.000	-2000.000
89	34878	2	-2895.872	4.49	60.03392	315.11313	-27.304	0.213	-560.000	-233.718	-39.063	-36.000	-2000.000
90	34974	1	1932.438	5.56	65.52390	317.36768	-125.629	17.211	-160.000	-111.081	-92.063	-96.000	2500.000
91	35088	2	-2786.456	5.49	63.07729	319.49683	-174.498	3.911	-200.000	-252.292	-49.578	-114.000	-2000.000
92	35259	2	-3361.107	5.43	66.30765	320.39615	-255.314	31.385	-80.000	-677.194	-208.985	-171.000	-2000.000
93	35439	2	-3981.590	5.38	64.91866	323.05499	-214.812	2.455	-900.000	-524.469	-164.764	-180.000	-2000.000
94	35501	2	-2600.218	5.32	63.37309	322.04153	-82.436	3.764	-220.000	-198.919	-40.626	-62.000	-2000.000
95	35628	2	-3039.417	5.26	65.30907	327.19958	-120.675	13.896	-380.000	-340.760	-84.878	-127.000	-2000.000
96	35773	2	-2949.192	5.21	66.59722	324.30020	-162.678	22.281	-60.000	-443.862	-159.933	-145.000	-2000.000
97	35989	4	-2045.201	5.15	68.11871	328.16779	-318.776	-4.080	-600.000	-629.191	-277.153	-216.000	0.000
98	36203	4	-1574.004	5.10	66.68818	330.60461	-246.537	29.598	-660.000	-374.122	-108.942	-214.000	0.000
99	36298	2	-2771.899	5.05	66.40707	330.41071	-106.816	34.566	-340.000	-183.328	-81.321	-95.000	-2000.000
100	36378	2	-2518.630	5.00	66.46326	333.60434	-112.991	33.478	-60.000	-242.478	-56.639	-80.000	-2000.000
101	36523	1	1266.616	6.00	65.92554	332.47174	-232.433	29.999	-380.000	-354.832	-151.118	-145.000	2500.000
102	36716	4	-1030.046	6.00	67.32314	333.99948	-192.843	77.636	-180.000	-419.480	-122.359	-193.000	0.000
103	36835	2	-3000.923	6.00	67.75621	332.71191	-144.749	25.788	-420.000	-202.041	-140.921	-119.000	-2000.000
104	37012	4	-1592.963	6.00	69.08009	336.81961	-211.951	-2.913	-520.000	-507.003	-174.096	-177.000	0.000
105	37112	2	-2521.503	6.00	66.76789	336.12335	-121.562	4.639	-120.000	-147.391	-37.189	-100.000	-2000.000
106	37286	4	-759.861	6.00	69.09451	337.92136	-176.691	39.865	-100.000	-288.934	-60.101	-174.000	0.000
107	37460	4	-862.523	6.00	67.31579	339.68118	-322.638	-16.264	0.000	-270.910	-78.712	-174.000	0.000
108	37635	4	-1631.017	6.00	69.11495	342.41086	-280.905	4.723	-320.000	-680.608	-179.227	-175.000	0.000
109	37736	2	-3353.124	6.00	68.39524	340.05511	-81.565	17.347	-800.000	-318.786	-69.119	-101.000	-2000.000
110	37913	4	-1078.201	6.00	68.74297	343.52014	-241.804	23.585	0.000	-477.256	-205.726	-177.000	0.000
111	38102	4	-1393.648	6.00	69.62232	343.93906	-266.335	38.008	-260.000	-532.747	-183.575	-189.000	0.000
112	38283	4	-1340.764	6.00	69.39359	345.76102	-216.058	38.122	-180.000	-628.832	-172.995	-181.000	0.000
113	38451	4	-1007.249	6.00	70.08882	348.42441	-266.790	-6.491	-60.000	-363.528	-142.440	-168.000	0.000
114	38617	4	-872.609	6.00	69.81904	352.01721	-202.504	25.749	0.000	-373.891	-155.962	-166.000	0.000
115	38648	2	-2549.228	6.00	69.66706	350.12781	-66.764	2.854	-260.000	-154.618	-39.699	-31.000	-2000.000
116	38762	2	-3140.640	6.00	70.27667	350.96893	-67.700	20.008	-580.000	-365.324	-33.624	-114.000	-2000.000
117	38920	1	1516.005	7.00	70.66226	351.51303	-187.405	23.051	-180.000	-322.302	-159.339	-158.000	2500.000
118	38965	2	-2545.216	7.00	67.92298	357.81467	-62.419	0.450	-300.000	-89.856	-48.391	-45.000	-2000.000
119	39142	4	-1429.721	7.00	69.02706	351.29794	-299.018	39.658	-400.000	-435.505	-157.857	-177.000	0.000
120	39203	2	-2551.980	7.00	74.93880	354.76868	-98.473	-3.339	-180.000	-130.210	-78.958	-61.000	-2000.000
121	39308	2	-2785.752	7.00	70.48679	356.34735	-115.532	13.258	-280.000	-204.719	-93.759	-105.000	-2000.000
122	39528	4	-1904.341	7.00	71.53316	355.87451	-409.367	-18.656	-440.000	-697.849	-118.469	-220.000	0.000
