gpu torch available:  True
Epi 3      | COLL_WALL   | steps 76   | total 25k   |  8.5s | MA100   0%
Epi 4      | COLL_WALL   | steps 58   | total 25k   |  6.9s | MA100   0%
Epi 5      | COLL_WALL   | steps 53   | total 25k   |  6.2s | MA100   0%
Epi 6      | COLL_WALL   | steps 177  | total 26k   | 20.6s | MA100   0%
Epi 7      | TIMEOUT     | steps 147  | total 26k   | 16.9s | MA100   0%
Epi 8      | COLL_WALL   | steps 45   | total 26k   |  5.3s | MA100   0%
Epi 9      | COLL_WALL   | steps 30   | total 26k   |  3.5s | MA100   0%
Epi 10     | COLL_WALL   | steps 60   | total 26k   |  6.9s | MA100   0%
Epi 11     | TIMEOUT     | steps 200  | total 26k   | 22.6s | MA100   0%
Epi 12     | COLL_WALL   | steps 65   | total 26k   |  7.0s | MA100   0%
Epi 13     | COLL_WALL   | steps 90   | total 26k   | 10.4s | MA100   0%
Epi 14     | COLL_WALL   | steps 67   | total 26k   |  7.3s | MA100   0%
Epi 15     | COLL_WALL   | steps 30   | total 26k   |  3.4s | MA100   0%
Epi 16     | COLL_WALL   | steps 207  | total 26k   | 23.1s | MA100   0%
Epi 17     | COLL_WALL   | steps 60   | total 27k   |  6.8s | MA100   0%
Epi 18     | SUCCESS     | steps 202  | total 27k   | 22.4s | MA100   6%
Epi 19     | TIMEOUT     | steps 194  | total 27k   | 21.6s | MA100   5%
Epi 20     | COLL_WALL   | steps 48   | total 27k   |  5.5s | MA100   5%
Epi 21     | TIMEOUT     | steps 180  | total 27k   | 20.0s | MA100   5%
Epi 22     | TIMEOUT     | steps 198  | total 27k   | 21.9s | MA100   5%
Epi 23     | COLL_WALL   | steps 35   | total 27k   |  4.0s | MA100   4%
Epi 24     | COLL_WALL   | steps 145  | total 28k   | 15.5s | MA100   4%
Epi 25     | TIMEOUT     | steps 156  | total 28k   | 17.1s | MA100   4%
Epi 26     | TIMEOUT     | steps 200  | total 28k   | 22.3s | MA100   4%
Epi 27     | COLL_WALL   | steps 36   | total 28k   |  3.7s | MA100   4%
Epi 28     | TIMEOUT     | steps 201  | total 28k   | 22.5s | MA100   4%
Epi 29     | COLL_WALL   | steps 108  | total 28k   | 12.0s | MA100   3%
Epi 30     | COLL_WALL   | steps 123  | total 28k   | 13.3s | MA100   3%
Epi 31     | COLL_WALL   | steps 41   | total 28k   |  4.7s | MA100   3%
Epi 32     | TIMEOUT     | steps 240  | total 29k   | 26.7s | MA100   3%
Epi 33     | COLL_WALL   | steps 36   | total 29k   |  4.1s | MA100   3%
Epi 34     | TIMEOUT     | steps 145  | total 29k   | 15.9s | MA100   3%
Epi 35     | TIMEOUT     | steps 137  | total 29k   | 15.4s | MA100   3%
Epi 36     | TIMEOUT     | steps 149  | total 29k   | 16.4s | MA100   3%
Epi 37     | TIMEOUT     | steps 143  | total 29k   | 15.8s | MA100   3%
Epi 38     | COLL_WALL   | steps 50   | total 29k   |  5.7s | MA100   3%
Epi 39     | COLL_WALL   | steps 83   | total 29k   |  9.4s | MA100   3%
Epi 40     | TIMEOUT     | steps 192  | total 30k   | 21.9s | MA100   2%
Epi 41     | TIMEOUT     | steps 150  | total 30k   | 16.6s | MA100   2%
Epi 42     | TIMEOUT     | steps 167  | total 30k   | 18.4s | MA100   2%
Epi 43     | COLL_WALL   | steps 125  | total 30k   | 14.2s | MA100   2%
Epi 44     | TIMEOUT     | steps 160  | total 30k   | 17.8s | MA100   2%
Epi 45     | TIMEOUT     | steps 210  | total 30k   | 23.9s | MA100   2%
Epi 46     | TIMEOUT     | steps 207  | total 31k   | 23.4s | MA100   2%
Epi 47     | COLL_WALL   | steps 197  | total 31k   | 22.0s | MA100   2%
Epi 48     | COLL_WALL   | steps 64   | total 31k   |  7.3s | MA100   2%
Epi 49     | COLL_WALL   | steps 177  | total 31k   | 20.0s | MA100   2%
Epi 50     | TIMEOUT     | steps 154  | total 31k   | 16.9s | MA100   2%
Epi 51     | COLL_WALL   | steps 30   | total 31k   |  3.4s | MA100   2%
Epi 52     | COLL_WALL   | steps 66   | total 31k   |  6.8s | MA100   2%
Epi 53     | TIMEOUT     | steps 192  | total 31k   | 21.6s | MA100   2%
Epi 54     | TIMEOUT     | steps 171  | total 32k   | 18.9s | MA100   2%
Epi 55     | COLL_WALL   | steps 147  | total 32k   | 16.0s | MA100   2%
Epi 56     | COLL_WALL   | steps 55   | total 32k   |  6.2s | MA100   2%
Epi 57     | TIMEOUT     | steps 176  | total 32k   | 19.6s | MA100   2%
Epi 58     | COLL_WALL   | steps 79   | total 32k   |  8.9s | MA100   2%
Epi 59     | SUCCESS     | steps 99   | total 32k   | 11.0s | MA100   3%
Epi 60     | COLL_WALL   | steps 45   | total 32k   |  5.1s | MA100   3%
Epi 61     | COLL_WALL   | steps 52   | total 32k   |  5.8s | MA100   3%
Epi 62     | COLL_WALL   | steps 42   | total 32k   |  4.2s | MA100   3%
Epi 63     | TIMEOUT     | steps 147  | total 32k   | 16.7s | MA100   3%
Epi 64     | COLL_WALL   | steps 102  | total 33k   | 11.0s | MA100   3%
Epi 65     | COLL_WALL   | steps 157  | total 33k   | 17.2s | MA100   3%
Epi 66     | COLL_WALL   | steps 32   | total 33k   |  3.6s | MA100   3%
Epi 67     | TIMEOUT     | steps 172  | total 33k   | 19.1s | MA100   3%
