episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
3340, -2419.628544688225, 2, 3.329262224957347, 30, 512023,                                             512023, 0.0, 18353.517578125
3341, 614.7212686240673, 1, 46.406980673084036, 389, 512412,                                             512412, 0.0, 17364.509765625
3342, 2076.0549249053, 1, 10.953122709994204, 165, 512577,                                             512577, 0.0, 16039.501953125
3343, -3786.483754336834, 2, 40.7200137230102, 545, 513122,                                             513122, 0.0, 19315.447265625
3344, 1130.001790046692, 1, 27.169931112905033, 424, 513546,                                             513546, 0.0, 19391.189453125
3345, -4243.952767372131, 2, 46.00839450105559, 457, 514003,                                             514003, 0.0, 17519.779296875
3346, 1854.5161929130554, 1, 23.332246519974433, 251, 514254,                                             514254, 0.0, 18191.962890625
3347, -3565.617693722248, 4, 58.73811010294594, 544, 514798,                                             514798, 0.0, 18258.62109375
3348, -2633.567804336548, 2, 1.4325355140026659, 39, 514837,                                             514837, 0.0, 18396.544921875
3349, 225.1487230360508, 1, 38.47486314701382, 476, 515313,                                             515313, 0.0, 16427.513671875
3350, -3399.704124569893, 2, 21.256592181976885, 279, 515592,                                             515592, 0.0, 16523.783203125
3351, -4216.753396511078, 2, 25.86530174408108, 177, 515769,                                             515769, 0.0, 17458.65625
3352, 1544.740937590599, 1, 27.649928885977715, 259, 516028,                                             516028, 0.0, 18067.248046875
3353, 2359.0823964476585, 1, 7.481579154962674, 138, 516166,                                             516166, 0.0, 17618.998046875
3354, -2272.383190870285, 2, 7.962802686030045, 50, 516216,                                             516216, 0.0, 19316.564453125
3355, -2857.9728672504425, 2, 3.934659610968083, 41, 516257,                                             516257, 0.0, 18402.330078125
3356, 1193.2560867667198, 1, 26.92023866903037, 274, 516531,                                             516531, 0.0, 16894.953125
3357, 1468.6476876735687, 1, 36.909904750064015, 374, 516905,                                             516905, 0.0, 16234.1083984375
3358, -2837.2654443383217, 2, 14.796127203968354, 94, 516999,                                             516999, 0.0, 18728.1171875
3359, -2139.4748034477234, 2, 0.9369573430158198, 30, 517029,                                             517029, 0.0, 16570.998046875
3360, -2701.8773444890976, 2, 6.175969045958482, 122, 517151,                                             517151, 0.0, 18963.173828125
3361, -100.93896082043648, 1, 34.94867397099733, 551, 517702,                                             517702, 0.0, 17720.115234375
