episode	total_steps	outcome	reward_sum	ma100_success	loss_critic	loss_actor	r_yaw	r_distance	r_obstacle	r_vlinear	r_vangular	r_step	r_terminal
56	31834	2	-0.849	1.79	1.18301	-69.76197	0.000	0.151	0.000	0.000	0.000	0.000	-1.000
57	32010	4	0.987	1.75	1.32766	-69.26529	0.000	0.987	0.000	0.000	0.000	0.000	0.000
58	32089	2	-1.779	1.72	1.27983	-68.83061	0.000	-0.779	0.000	0.000	0.000	0.000	-1.000
59	32188	1	2.762	3.39	1.30794	-68.49622	0.000	1.762	0.000	0.000	0.000	0.000	1.000
60	32233	2	0.412	3.33	1.27456	-68.28695	0.000	1.412	0.000	0.000	0.000	0.000	-1.000
61	32285	2	-0.002	3.28	1.34954	-67.97690	0.000	0.998	0.000	0.000	0.000	0.000	-1.000
62	32327	2	-1.272	3.23	1.15317	-67.81545	0.000	-0.272	0.000	0.000	0.000	0.000	-1.000
63	32474	4	-0.196	3.17	1.24951	-67.52618	0.000	-0.196	0.000	0.000	0.000	0.000	0.000
64	32576	2	-1.564	3.12	1.18948	-67.09557	0.000	-0.564	0.000	0.000	0.000	0.000	-1.000
65	32733	2	-0.642	3.08	1.24764	-66.60396	0.000	0.358	0.000	0.000	0.000	0.000	-1.000
66	32765	2	-0.997	3.03	1.40556	-66.29730	0.000	0.003	0.000	0.000	0.000	0.000	-1.000
67	32937	4	-0.991	2.99	1.32199	-65.86824	0.000	-0.991	0.000	0.000	0.000	0.000	0.000
68	33084	4	-0.005	2.94	1.27802	-65.38195	0.000	-0.005	0.000	0.000	0.000	0.000	0.000
69	33116	2	-0.628	2.90	1.20934	-65.04510	0.000	0.372	0.000	0.000	0.000	0.000	-1.000
70	33211	2	-0.745	2.86	1.25861	-64.82682	0.000	0.255	0.000	0.000	0.000	0.000	-1.000
71	33267	2	-0.738	2.82	1.12984	-64.53609	0.000	0.262	0.000	0.000	0.000	0.000	-1.000
72	33414	4	0.425	2.78	1.18639	-64.20570	0.000	0.425	0.000	0.000	0.000	0.000	0.000
73	33446	2	-1.122	2.74	1.22534	-63.86539	0.000	-0.122	0.000	0.000	0.000	0.000	-1.000
74	33540	2	-1.444	2.70	1.16410	-63.60794	0.000	-0.444	0.000	0.000	0.000	0.000	-1.000
75	33683	4	-0.060	2.67	1.10675	-63.23257	0.000	-0.060	0.000	0.000	0.000	0.000	0.000
76	33785	2	0.401	2.63	1.24841	-62.84351	0.000	1.401	0.000	0.000	0.000	0.000	-1.000
77	33915	4	-0.500	2.60	1.07808	-62.39161	0.000	-0.500	0.000	0.000	0.000	0.000	0.000
78	33986	2	-0.933	2.56	1.13094	-62.10107	0.000	0.067	0.000	0.000	0.000	0.000	-1.000
79	34122	4	0.931	2.53	1.08682	-61.77584	0.000	0.931	0.000	0.000	0.000	0.000	0.000
80	34271	4	0.663	2.50	1.09081	-61.27032	0.000	0.663	0.000	0.000	0.000	0.000	0.000
81	34396	2	-1.082	2.47	1.04928	-60.84759	0.000	-0.082	0.000	0.000	0.000	0.000	-1.000
82	34545	4	0.574	2.44	1.16026	-60.35781	0.000	0.574	0.000	0.000	0.000	0.000	0.000
83	34692	4	1.366	2.41	1.05378	-59.85822	0.000	1.366	0.000	0.000	0.000	0.000	0.000
84	34797	2	-1.056	2.38	1.01749	-59.44559	0.000	-0.056	0.000	0.000	0.000	0.000	-1.000
85	34912	2	0.284	2.35	1.09257	-59.14081	0.000	1.284	0.000	0.000	0.000	0.000	-1.000
86	35178	2	-0.326	2.33	1.00090	-58.48122	0.000	0.674	0.000	0.000	0.000	0.000	-1.000
87	35331	4	0.826	2.30	1.05679	-57.80747	0.000	0.826	0.000	0.000	0.000	0.000	0.000
88	35484	4	0.012	2.27	1.02658	-57.32496	0.000	0.012	0.000	0.000	0.000	0.000	0.000
89	35523	2	-0.927	2.25	1.00268	-57.06454	0.000	0.073	0.000	0.000	0.000	0.000	-1.000
90	35680	4	0.161	2.22	0.90488	-56.72886	0.000	0.161	0.000	0.000	0.000	0.000	0.000
91	35869	2	-0.711	2.20	0.88560	-56.19098	0.000	0.289	0.000	0.000	0.000	0.000	-1.000
92	35921	2	-1.184	2.17	0.87599	-55.84424	0.000	-0.184	0.000	0.000	0.000	0.000	-1.000
93	36070	4	0.049	2.15	1.00178	-55.51277	0.000	0.049	0.000	0.000	0.000	0.000	0.000
94	36216	4	-0.045	2.13	0.92794	-55.06626	0.000	-0.045	0.000	0.000	0.000	0.000	0.000
95	36284	2	-1.011	2.11	0.87121	-54.78800	0.000	-0.011	0.000	0.000	0.000	0.000	-1.000
96	36437	4	0.114	2.08	0.90044	-54.40183	0.000	0.114	0.000	0.000	0.000	0.000	0.000
97	36584	4	1.256	2.06	0.88026	-53.95344	0.000	1.256	0.000	0.000	0.000	0.000	0.000
