episode	total_steps	outcome	reward_sum	ma100_success	loss_critic	loss_actor	r_yaw	r_distance	r_obstacle	r_vlinear	r_vangular	r_step	r_terminal
51	27865	2	-2340.279	7.84	22.66705	134.74519	-48.372	0.605	-220.000	-3.234	-34.278	-35.000	-2000.000
52	27959	2	-2986.586	7.69	24.51874	135.48074	-141.064	9.280	-680.000	-2.964	-77.837	-94.000	-2000.000
53	28039	2	-2445.471	7.55	23.14980	135.84085	-129.330	-3.215	-160.000	-1.592	-71.334	-80.000	-2000.000
54	28081	2	-2590.535	7.41	24.53571	139.06877	-97.034	-2.092	-400.000	-0.623	-48.786	-42.000	-2000.000
55	28178	2	-2656.029	7.27	23.61517	138.65166	-173.237	8.638	-340.000	-11.968	-42.462	-97.000	-2000.000
56	28221	2	-2213.378	7.14	22.87547	136.74960	-83.195	-3.012	-60.000	-2.225	-21.946	-43.000	-2000.000
57	28290	2	-2268.658	7.02	23.77362	139.80659	-73.220	5.881	-60.000	-10.231	-62.088	-69.000	-2000.000
58	28438	2	-2707.262	6.90	23.32306	141.20544	-205.954	18.212	-200.000	-18.023	-153.497	-148.000	-2000.000
59	28468	5	-410.730	6.78	23.69990	143.10840	-62.671	-2.325	-240.000	-0.948	-74.786	-30.000	0.000
60	28506	5	-264.308	6.67	22.84040	141.24438	-58.823	1.160	-100.000	-0.776	-67.868	-38.000	0.000
61	28614	2	-2446.954	6.56	23.16235	142.22009	-150.022	6.945	-80.000	-6.945	-108.932	-108.000	-2000.000
62	28676	2	-2346.670	6.45	24.60798	143.52872	-80.526	4.137	-140.000	-2.408	-65.872	-62.000	-2000.000
63	28843	2	-2728.864	6.35	24.62853	144.75839	-257.927	-11.605	-100.000	-25.481	-166.851	-167.000	-2000.000
64	29056	4	-761.575	6.25	24.99665	145.80127	-347.647	-3.326	0.000	-15.735	-181.868	-213.000	0.000
65	29233	1	1847.923	7.69	25.01401	149.02676	-250.515	-23.705	0.000	-15.546	-185.311	-177.000	2500.000
66	29406	2	-2815.136	7.58	24.92007	149.70377	-256.903	2.996	-180.000	-14.057	-194.172	-173.000	-2000.000
67	29615	4	-979.004	7.46	24.27909	150.64290	-347.719	-25.617	-160.000	-13.326	-223.343	-209.000	0.000
68	29711	2	-2706.399	7.35	25.07648	152.37463	-145.423	5.313	-340.000	-7.266	-123.023	-96.000	-2000.000
69	29900	2	-2718.750	7.25	26.07984	153.57834	-290.656	7.987	-40.000	-4.117	-202.964	-189.000	-2000.000
70	30021	2	-2523.831	7.14	26.68048	152.95045	-185.386	7.014	-120.000	-13.592	-90.867	-121.000	-2000.000
71	30074	2	-2300.212	7.04	25.00778	154.80185	-63.670	5.639	-120.000	-0.527	-68.654	-53.000	-2000.000
72	30210	2	-2500.751	6.94	24.06947	154.00159	-209.865	16.760	-60.000	-4.634	-107.012	-136.000	-2000.000
73	30287	2	-2510.108	6.85	24.66953	156.13503	-105.205	2.496	-200.000	-3.374	-127.025	-77.000	-2000.000
74	30320	2	-2234.222	6.76	24.27973	156.97017	-54.942	-0.468	-80.000	-0.391	-65.421	-33.000	-2000.000
75	30397	2	-2489.561	6.67	26.23857	156.30969	-88.710	9.147	-240.000	-4.613	-88.385	-77.000	-2000.000
76	30585	2	-2932.002	6.58	25.00121	156.24947	-273.529	9.644	-260.000	-13.166	-206.950	-188.000	-2000.000
77	30685	2	-2342.318	6.49	25.26118	158.63353	-119.999	30.585	-40.000	-11.682	-101.222	-100.000	-2000.000
78	30715	2	-2414.871	6.41	25.38096	157.93336	-50.347	-0.028	-260.000	-0.047	-74.450	-30.000	-2000.000
79	30842	2	-2847.885	6.33	24.48356	159.33598	-203.327	3.118	-360.000	-9.464	-151.212	-127.000	-2000.000
80	31028	4	-847.604	6.25	25.15073	159.54474	-283.936	13.006	-120.000	-11.013	-259.661	-186.000	0.000
81	31150	2	-2485.713	6.17	24.98809	161.51419	-174.838	13.523	-40.000	-17.752	-144.646	-122.000	-2000.000
82	31242	2	-2551.652	6.10	26.06113	162.40668	-131.260	4.296	-140.000	-6.176	-186.512	-92.000	-2000.000
83	31279	1	2258.971	7.23	26.21536	161.66673	-38.898	6.056	-120.000	-5.506	-45.681	-37.000	2500.000
84	31468	4	-907.012	7.14	25.78531	162.05760	-294.758	-8.594	-220.000	-15.160	-179.500	-189.000	0.000
85	31643	4	-747.829	7.06	24.73595	163.85748	-278.296	17.633	-80.000	-7.431	-224.735	-175.000	0.000
86	31714	2	-2550.286	6.98	26.40598	165.25143	-110.356	1.346	-200.000	-1.219	-169.057	-71.000	-2000.000
87	31759	2	-2246.601	6.90	25.63599	166.04820	-68.543	7.773	-100.000	-3.585	-37.247	-45.000	-2000.000
88	31910	1	1881.654	7.95	24.74027	164.71831	-192.561	18.555	-60.000	-6.175	-227.164	-151.000	2500.000
89	31970	2	-2344.229	7.87	25.64622	166.98935	-85.189	1.381	-120.000	-6.247	-74.175	-60.000	-2000.000
90	32019	1	2344.805	8.89	24.55806	166.86948	-53.889	4.618	0.000	-1.509	-55.414	-49.000	2500.000
91	32059	2	-2386.434	8.79	25.13105	168.31596	-75.487	-4.005	-180.000	-2.453	-84.489	-40.000	-2000.000
92	32127	1	2307.196	9.78	25.64647	168.80577	-85.923	7.601	0.000	-0.526	-45.957	-68.000	2500.000
93	32176	2	-2228.276	9.68	25.18861	166.41460	-43.902	2.156	-60.000	-8.951	-68.578	-49.000	-2000.000
94	32244	2	-2437.187	9.57	26.21095	166.72696	-115.851	-6.070	-120.000	-1.684	-125.582	-68.000	-2000.000
95	32294	1	2298.284	10.53	26.10840	169.10393	-59.269	11.483	0.000	-1.430	-102.501	-50.000	2500.000
96	32389	2	-2566.099	10.42	26.80074	168.40721	-103.952	19.444	-240.000	-3.445	-143.146	-95.000	-2000.000
97	32443	2	-2381.766	10.31	26.91727	171.84203	-94.891	-6.407	-140.000	-2.123	-84.345	-54.000	-2000.000
98	32490	2	-2254.055	10.20	29.16247	171.61604	-48.302	3.933	-60.000	-1.251	-101.434	-47.000	-2000.000
99	32556	1	2270.783	11.11	27.85052	171.07855	-80.331	12.014	0.000	-2.542	-92.358	-66.000	2500.000
100	32654	2	-2565.577	11.00	27.21958	172.19655	-138.376	20.271	-200.000	-1.060	-148.413	-98.000	-2000.000
101	32703	2	-2256.658	11.00	26.57715	171.61250	-72.823	7.336	-80.000	-2.497	-59.674	-49.000	-2000.000
102	32797	2	-2884.298	11.00	26.59445	172.82979	-117.420	2.345	-580.000	-4.503	-90.719	-94.000	-2000.000
103	32867	2	-2320.350	11.00	24.17085	173.05901	-90.754	9.113	-60.000	-2.584	-106.125	-70.000	-2000.000
